Year,Month,Nepali Day,Day (English),English Date,Is Holiday,Tithi,Event
2081,1,१,1,13,true,पञ्चमी,नयाँ वर्ष/मेष संक्रान्ति/बिस्का: जात्रा
2081,1,२,2,14,false,षष्ठी,
2081,1,३,3,15,false,सप्तमी,विश्व कला दिवस
2081,1,४,4,16,false,अष्टमी,जनबहा द्यः जात्रा (सेतो मच्छिन्द्रनाथ जात्रा)/चैते दशैँ/भाैमाष्टमी व्रत/गोरखकाली पूजा
2081,1,५,5,17,true,नवमी,श्री राम नवमी व्रत
2081,1,६,6,18,false,दशमी,विश्व सम्पदा दिवस
2081,1,७,7,19,false,एकादशी,कामदा एकादशी व्रत
2081,1,८,8,20,false,द्वादशी,छन्द दिवस
2081,1,९,9,21,false,त्रयोदशी,महावीर जयन्ती/प्रदोष व्रत
2081,1,१०,10,22,false,चतुर्दशी,विश्व पृथ्वी दिवस
2081,1,११,11,23,false,पूर्णिमा,लोकतन्त्र दिवस/पूर्णिमा व्रत/हनुमान जयन्ती/बैसाख स्नान प्रारम्भ/विश्व पुस्तक तथा प्रतिलिपि अधिकार दिवस
2081,1,१२,12,24,false,प्रतिपदा*,विसं २०७२ सालको महाभुकम्पको सम्झना/विश्व खोप सप्ताह
2081,1,१३,13,25,false,प्रतिपदा,विश्व औंलो दिवस
2081,1,१४,14,26,false,द्वितीया,विश्व बौद्धिक सम्पत्ति दिवस
2081,1,१५,15,27,false,तृतिया,स्वामी शशिधर जन्मजयन्ती
2081,1,१६,16,28,false,चतुर्थी,काममा सुरक्षा र स्वास्थ्यको लागि विश्व दिवस
2081,1,१७,17,29,false,पञ्चमी,अन्तर्राष्ट्रिय नृत्य दिवस
2081,1,१८,18,30,false,सप्तमी*,
2081,1,१९,19,1,true,अष्टमी*,अन्तर्राष्ट्रिय श्रमिक दिवस/बुधाष्टमी व्रत/गोरखकाली पूजा
2081,1,२०,20,2,false,नवमी,
2081,1,२१,21,3,false,दशमी,विश्व प्रेस स्वतन्त्रता दिवस
2081,1,२२,22,4,false,एकादशी,बरुथिनी एकादशी व्रत
2081,1,२३,23,5,false,द्वादशी,प्रदोष व्रत/विश्व हाँसाे दिवस
2081,1,२४,24,6,false,त्रयोदशी,किराँत समाज सुधार दिवस
2081,1,२५,25,7,false,चतुर्दशी,
2081,1,२६,26,8,false,औंसी,मातातीर्थ औंसी (आमाको मुख हेर्ने दिन)/विश्व रेडक्रस दिवस/कानुन दिवस
2081,1,२७,27,9,false,प्रतिपदा,बुंगद्यः (रातो मच्छिन्द्रनाथ) रथारोहण
2081,1,२८,28,10,false,द्वितीया*,अक्षय तृतीया व्रत/परशुराम जयन्ती/महिला ज्योतिष संघ स्थापना दिवस
2081,1,२९,29,11,false,चतुर्थी,बुंगद्यः जात्रा (रातो मच्छिन्द्रनाथ जात्रा)
2081,1,३०,30,12,false,पञ्चमी,आद्यगुरु शंकराचार्य जयन्ती/रामानुजाचार्य जयन्ती/अन्तर्राष्ट्रिय नर्स दिवस
2081,1,३१,31,13,false,षष्ठी,
